rank,canonical_id,canonical_name,query,status,noisy
1,nano-machine,Nano Machine,Nano Machine webtoon,qualified,
2,pick-me-up,Pick Me Up,Pick Me Up webtoon,qualified,
3,solo-leveling,Solo Leveling,Solo Leveling,,
4,omniscient-reader,Omniscient Reader,Omniscient Reader's Viewpoint,override,
5,the-return-of-the-disaster-class-hero,The Return of the Disaster-Class Hero,The Return of the Disaster-Class Hero,,
6,the-greatest-estate-developer,The Greatest Estate Developer,The Greatest Estate Developer,,
7,tower-of-god,Tower of God,Tower of God,,
8,return-of-the-blossoming-blade,Return of the Blossoming Blade,Return of the Blossoming Blade,,
9,the-infinite-mage,The Infinite Mage,The Infinite Mage,,
10,bastard,Bastard,Bastard webtoon,qualified,
11,the-horizon,The Horizon,The Horizon webtoon,qualified,
12,i-m-the-max-level-newbie,I'm the Max-Level Newbie,I'm the Max-Level Newbie,,
13,eleceed,Eleceed,Eleceed,,
14,sss-class-revival-hunter,SSS-Class Revival Hunter,SSS-Class Revival Hunter,,
15,teenage-mercenary,Teenage Mercenary,Teenage Mercenary webtoon,qualified,
16,second-life-ranker,Second Life Ranker,Second Life Ranker,,
17,66-666-years-advent-of-the-dark-mage,"66,666 Years: Advent of the Dark Mage",Advent of the Dark Mage,override,
18,the-stellar-swordmaster,The Stellar Swordmaster,The Stellar Swordmaster,,
19,revenge-of-the-baskerville-bloodhound,Revenge of the Baskerville Bloodhound,Revenge of the Baskerville Bloodhound,,
20,the-god-of-high-school,The God of High School,The God of High School,,
21,sweet-home,Sweet Home,Sweet Home webtoon,qualified,yes
22,the-lazy-lord-masters-the-sword,The Lazy Lord Masters the Sword,The Lazy Lord Masters the Sword,,
23,lookism,Lookism,Lookism,,
24,the-swordmaster-s-son,The Swordmaster's Son,The Swordmaster's Son,,
25,the-world-after-the-fall,The World After the Fall,The World After the Fall,,
26,overgeared,Overgeared,Overgeared,,
27,the-legend-of-the-northern-blade,The Legend of the Northern Blade,The Legend of the Northern Blade,,
28,a-returner-s-magic-should-be-special,A Returner's Magic Should Be Special,A Returner's Magic Should Be Special,,
29,lout-of-count-s-family,Lout of Count's Family,Lout of Count's Family,,
30,the-boxer,The Boxer,The Boxer webtoon,qualified,
